id,aidat_tl,amerikan_mutfak,arakat_dubleksi,asansor,bahce_dubleksi,bahce_kati,bahceli,balkon,banyo_sayisi,bina_yasi,bogaz_manzarali,boyali,brut_m2,bulundugu_kat,cati_dubleksi,celik_kapi,deniz_manzarali,doga_manzarali,duvar_kagidi,emlak_tipi,esyali,fiyat,gol_manzarali,goruntulu_diafon,guney,guvenlik,havuz_manzarali,ilan_tarihi,isi_yalitim,isicam,isitma,kapali_garaj,kat_dubleksi,kat_sayisi,kimden,klima,kullanim_durumu,laminat_zemin,mahalle,mobilya,net_m2,oda_sayisi,otopark,parke_zemin,pvc_dograma,sehir,sehir_manzarali,semt,site_icerisinde,takas,teras,tripleks,yuzme_havuzu
625920859,Belirtilmemiş,False,False,False,False,False,False,Var,1,5-10 arası,False,False,135,2,False,False,False,False,False,Satılık Daire,Hayır,234.500 TL,False,False,True,False,False,15 Kasım 2018,False,False,Klima,False,False,3,Emlak Ofisinden,False,Boş,False,Şelale Mh.,False,128,3+1,False,False,False,Antalya,False,Manavgat,Hayır,Hayır,False,False,False
625954780,Belirtilmemiş,True,False,False,False,False,True,,5,0,True,False,510,,False,False,False,True,False,Satılık Villa,Evet,1.700.000 TL,False,False,True,False,False,15 Kasım 2018,True,False,Klima,False,False,3,İnşaat Firmasından,True,Boş,False,Göynük Mh.,True,400,5+2,False,False,False,Antalya,True,Kemer,Hayır,Hayır,False,True,False
626276579,10,False,False,False,False,False,False,Var,2,5-10 arası,False,True,135,2,False,True,False,False,False,Satılık Daire,Hayır,233.000 TL,False,False,True,False,False,16 Kasım 2018,True,True,Klima,False,False,3,Emlak Ofisinden,False,Mülk Sahibi,False,Yeşilyurt Mh.,False,135,3+1,True,True,True,Antalya,True,Kepez,Hayır,Hayır,False,False,False
626293665,Belirtilmemiş,False,False,True,False,False,False,,3,0,False,True,250,,False,True,False,True,False,Satılık Villa,Hayır,1.265.000 TL,False,True,True,False,False,16 Kasım 2018,True,True,Klima,True,False,2,İnşaat Firmasından,False,Boş,True,Göynük Mh.,False,200,3+1,True,False,True,Antalya,True,Kemer,,Hayır,True,False,True
626332752,Belirtilmemiş,False,False,False,False,False,False,Var,1,5-10 arası,False,False,100,3,False,False,False,False,False,Satılık Daire,Hayır,340.000 TL,False,False,False,False,False,16 Kasım 2018,False,False,Klima,False,False,4,Emlak Ofisinden,False,Boş,False,Hurma Mah.,False,90,2+1,False,False,False,Antalya,False,Konyaaltı,Evet,Hayır,False,False,False
626691936,25,True,False,True,False,False,False,Var,1,4,False,True,160,6,False,True,True,True,False,Satılık Daire,Hayır,369.000 TL,False,False,True,False,False,11 Aralık 2018,False,True,Güneş Enerjisi,False,False,7,Sahibinden,False,Mülk Sahibi,True,Sahilkent Bld.,False,160,3+1,True,False,True,Antalya,True,Finike,,Hayır,False,False,False
626764431,Belirtilmemiş,True,False,True,False,False,False,Var,1,4,False,True,40,10,False,True,True,True,False,Satılık Daire,Hayır,138.000 TL,False,True,True,True,False,17 Kasım 2018,True,True,Klima,True,False,12,Emlak Ofisinden,False,Boş,False,Mahmutlar Bld.,False,38,Stüdyo (1+0),True,False,True,Antalya,True,Alanya,Hayır,Hayır,False,False,True
626786221,Belirtilmemiş,True,False,True,False,False,False,Var,1,1,False,True,82,6,False,True,False,True,False,Satılık Daire,Hayır,275.000 TL,False,True,False,True,False,17 Kasım 2018,True,True,Klima,False,False,12,Emlak Ofisinden,False,Boş,False,Mahmutlar Bld.,False,78,1+1,True,False,True,Antalya,True,Alanya,Hayır,Hayır,False,False,True
627329017,100,False,False,True,False,False,False,Var,2,0,False,True,165,2,False,True,False,True,False,Satılık Daire,Hayır,485.000 TL,False,True,False,False,False,19 Kasım 2018,True,True,Güneş Enerjisi,False,False,4,Emlak Ofisinden,False,Boş,True,Oba Bld.,False,165,3+1,True,False,True,Antalya,True,Alanya,Evet,Evet,False,False,True
627676869,25,True,False,True,False,False,False,Var,2,5-10 arası,False,True,120,1,False,True,False,True,False,Satılık Daire,Evet,275.000 TL,False,False,True,False,False,20 Kasım 2018,True,True,Güneş Enerjisi,False,False,5,Emlak Ofisinden,True,Boş,False,Oba Bld.,True,120,2+1,True,False,True,Antalya,False,Alanya,Evet,Evet,False,False,True
